tid,attribute,correct_val
7,risk,risk 1 (high)
7,address,5554 n clark st
7,city,chicago
7,state,il
7,zip,60640
7,inspectiondate,2010-04-01
7,inspectiontype,license re-inspection
7,results,pass
7,latitude,41.9833127
7,longitude,-87.66886836
8,inspectionid,44255
8,dbaname,"tony's burrito mex, inc"
8,akaname,"tony's burrito mex, inc"
8,license,1576687
8,facilitytype,restaurant
8,risk,risk 1 (high)
8,address,1957 w belmont ave
8,city,chicago
8,state,il
8,zip,60657
8,inspectiondate,2010-05-05
8,inspectiontype,complaint
8,results,fail
8,latitude,41.93946536
8,longitude,-87.67815712
9,inspectionid,44256
9,dbaname,eat a pita
9,akaname,eat a pita
9,license,1222441
9,facilitytype,restaurant
9,risk,risk 1 (high)
9,address,3155 n halsted st
9,city,chicago
9,state,il
9,zip,60657
9,inspectiondate,2010-05-05
9,inspectiontype,complaint
9,results,pass w/ conditions
9,latitude,41.93944116
9,longitude,-87.64910277
10,inspectionid,44257
10,dbaname,amundsen high school
10,akaname,amundsen hiigh school
10,license,46031
10,facilitytype,school
10,risk,risk 1 (high)
10,address,5110 n damen ave
10,city,chicago
10,state,il
10,zip,60625
10,inspectiondate,2010-05-11
10,inspectiontype,canvass
10,results,pass w/ conditions
10,latitude,41.97507922
10,longitude,-87.67952139
11,inspectionid,44258
11,dbaname,jimmy johns sandwich shop
11,akaname,jimmy johns sandwich shop
11,license,1383444
11,facilitytype,restaurant
11,risk,risk 1 (high)
11,address,2336 w lawrence ave
11,city,chicago
11,state,il
11,zip,60625
11,inspectiondate,2010-05-11
11,inspectiontype,canvass
11,results,pass
11,latitude,41.96874385
11,longitude,-87.68793653
12,inspectionid,44259
12,dbaname,northside college prep.
12,akaname,northside college prep
12,license,46061
12,facilitytype,school
12,risk,risk 1 (high)
12,address,5501 n kedzie ave
12,city,chicago
12,state,il
12,zip,60625
12,inspectiondate,2010-05-12
12,inspectiontype,canvass
12,results,pass
12,latitude,41.98135196
12,longitude,-87.70867192
13,inspectionid,44260
13,dbaname,albany park campus/edison regional gifted ctr.
13,akaname,albany park campus/edison regional gifted ctr.
13,license,32011
13,facilitytype,school
13,risk,risk 1 (high)
13,address,4929 n sawyer st
13,city,chicago
13,state,il
13,zip,60625
13,inspectiondate,2010-05-12
13,inspectiontype,canvass
13,results,pass
13,latitude,41.9711433
13,longitude,-87.70962725
14,inspectionid,44261
14,dbaname,walgreens #6270
14,akaname,walgreens #6270
14,license,2004388
14,facilitytype,grocery store
14,risk,risk 3 (low)
14,address,1001 w belmont ave
14,city,chicago
14,state,il
14,zip,60657
14,inspectiondate,2010-05-17
14,inspectiontype,license re-inspection
14,results,pass
14,latitude,41.93980098
14,longitude,-87.65416109
15,inspectionid,44262
15,dbaname,new peking restaurant
15,akaname,new peking restaurant
15,license,31997
15,facilitytype,restaurant
15,risk,risk 1 (high)
15,address,3132 n broadway
15,city,chicago
15,state,il
15,zip,60657
15,inspectiondate,2010-06-09
15,inspectiontype,canvass
15,results,pass
15,latitude,41.93864794
15,longitude,-87.64449909
16,inspectionid,48212
16,dbaname,el gran burrito
16,akaname,el gran burrito
16,license,40974
16,facilitytype,restaurant
16,risk,risk 1 (high)
16,address,5632 w north ave
16,city,chicago
16,state,il
16,zip,60639
16,inspectiondate,2010-01-08
16,inspectiontype,complaint
16,results,pass
16,latitude,41.9094746
16,longitude,-87.76676192
17,inspectionid,48213
17,dbaname,restaurant el ranchito
17,akaname,restaurant el ranchito
17,license,1273737
17,facilitytype,restaurant
17,risk,risk 1 (high)
17,address,5959 w grand ave
17,city,chicago
17,state,il
17,zip,60639
17,inspectiondate,2010-01-08
17,inspectiontype,complaint
17,results,pass
17,latitude,41.92042652
17,longitude,-87.775499
18,inspectionid,48214
18,dbaname,la panaderia central bakery
18,akaname,la panaderia central bakery
18,license,61169
18,facilitytype,bakery
18,risk,risk 1 (high)
18,address,4348 w armitage ave
18,city,chicago
18,state,il
18,zip,60639
18,inspectiondate,2010-01-11
18,inspectiontype,complaint
18,results,pass
18,latitude,41.91715968
18,longitude,-87.73587246
19,inspectionid,48215
19,dbaname,golden crown restaurant
19,akaname,golden crown restaurant
19,license,2013539
19,facilitytype,restaurant
19,risk,risk 1 (high)
19,address,2341 n narragansett ave
19,city,chicago
19,state,il
19,zip,60639
19,inspectiondate,2010-01-11
19,inspectiontype,license re-inspection
19,results,fail
19,latitude,41.92309768
19,longitude,-87.78527866
20,inspectionid,48216
20,dbaname,hanson park
20,akaname,hanson park
20,license,24461
20,facilitytype,school
20,risk,risk 1 (high)
20,address,5411 w fullerton ave
20,city,chicago
20,state,il
20,zip,60639
20,inspectiondate,2010-01-13
20,inspectiontype,canvass
20,results,pass
20,latitude,41.92392771
20,longitude,-87.76152094
21,inspectionid,48217
21,dbaname,hanson park branch
21,akaname,hanson park branch
21,license,24462
21,facilitytype,school
21,risk,risk 1 (high)
21,address,2318 n lorel st
21,city,chicago
21,state,il
21,zip,60639
21,inspectiondate,2010-01-13
21,inspectiontype,canvass
21,results,pass
21,latitude,41.92283114
21,longitude,-87.75994375
22,inspectionid,48218
22,dbaname,cielito lindo restaurant inc
22,akaname,cielito lindo restaurant inc
22,license,1336088
22,facilitytype,restaurant
22,risk,risk 1 (high)
22,address,5344 w fullerton ave
22,city,chicago
22,state,il
22,zip,60639
22,inspectiondate,2010-01-13
22,inspectiontype,canvass
22,results,pass
22,latitude,41.92416136
22,longitude,-87.76045394
23,inspectionid,48219
23,dbaname,taqueria la fiesta
23,akaname,el taconazo la fiesta
23,license,1937437
23,facilitytype,restaurant
23,risk,risk 1 (high)
23,address,2701 n central ave
23,city,chicago
23,state,il
23,zip,60639
23,inspectiondate,2010-01-25
23,inspectiontype,canvass
23,results,pass
23,latitude,41.92950116
23,longitude,-87.76603642
24,inspectionid,48220
24,dbaname,jorge prieto
24,akaname,dr. jorge prieto school
24,license,26771
24,facilitytype,school
24,risk,risk 1 (high)
24,address,2231 n central ave
24,city,chicago
24,state,il
24,zip,60639
24,inspectiondate,2010-01-26
24,inspectiontype,canvass
24,results,pass
24,latitude,41.92131717
24,longitude,-87.7657438
25,inspectionid,48221
25,dbaname,taqueria la paz
25,akaname,taqueria la paz
25,license,1953320
25,facilitytype,restaurant
25,risk,risk 1 (high)
25,address,5134 w grand ave
25,city,chicago
25,state,il
25,zip,60639
25,inspectiondate,2010-01-26
25,inspectiontype,canvass
25,results,fail
25,latitude,41.91697889
25,longitude,-87.75474306
26,inspectionid,48222
26,dbaname,burbank
26,akaname,burbank elementary school
26,license,22401
26,facilitytype,school
26,risk,risk 1 (high)
26,address,2035 n mobile
26,city,chicago
26,state,il
26,zip,60639
26,inspectiondate,2010-01-28
26,inspectiontype,canvass
26,results,fail
26,latitude,41.91759334
26,longitude,-87.78266267
27,inspectionid,48223
27,dbaname,el guanaco 2
27,akaname,el guanaco 2
27,license,1514780
27,facilitytype,restaurant
27,risk,risk 1 (high)
27,address,6345 w grand ave
27,city,chicago
27,state,il
27,zip,60639
27,inspectiondate,2010-01-28
27,inspectiontype,canvass
27,results,pass
27,latitude,41.92226642
27,longitude,-87.78461492
28,inspectionid,48224
28,dbaname,joe's barbecue & fish # 2
28,akaname,joe's barbecue & fish # 2
28,license,2017606
28,facilitytype,restaurant
28,risk,risk 1 (high)
28,address,5931 w north ave
28,city,chicago
28,state,il
28,zip,60639
28,inspectiondate,2010-02-08
28,inspectiontype,license
28,results,fail
28,latitude,41.90915796
28,longitude,-87.77445019
29,inspectionid,48225
29,dbaname,shriners hospitals for children
29,akaname,shriners hospitals for children
29,license,15783
29,facilitytype,hospital
29,risk,risk 1 (high)
29,address,2211 n oak park ave
29,city,chicago
29,state,il
29,zip,60707
29,inspectiondate,2010-03-02
29,inspectiontype,canvass
29,results,pass
29,latitude,41.92033617
29,longitude,-87.7949943
30,inspectionid,48226
30,dbaname,shriners hospitals for children
30,akaname,shriners hospitals for children
30,license,15784
30,facilitytype,hospital
30,risk,risk 1 (high)
30,address,2211 n oak park ave
30,city,chicago
30,state,il
30,zip,60707
30,inspectiondate,2010-03-02
30,inspectiontype,canvass
30,results,pass
30,latitude,41.92033617
30,longitude,-87.7949943
31,inspectionid,48227
31,dbaname,mc donald's
31,akaname,mc donald's
31,license,1933100
31,facilitytype,restaurant
31,risk,risk 2 (medium)
31,address,5133 w north ave
31,city,chicago
31,state,il
31,zip,60639
31,inspectiondate,2010-03-10
31,inspectiontype,canvass
31,results,pass
31,latitude,41.90940466
31,longitude,-87.75476387
32,inspectionid,48228
32,dbaname,taste of joi restaurant cafe b
32,akaname,taste  of joi restaurant
32,license,2021735
32,facilitytype,restaurant
32,risk,risk 1 (high)
32,address,5933 w north ave
32,city,chicago
32,state,il
32,zip,60639
32,inspectiondate,2010-03-19
32,inspectiontype,license re-inspection
32,results,pass
32,latitude,41.909157
32,longitude,-87.77452778
33,inspectionid,48229
33,dbaname,las islas marias
33,akaname,las islas marias
33,license,1095992
33,facilitytype,restaurant
33,risk,risk 1 (high)
33,address,4770 w grand ave
33,city,chicago
33,state,il
33,zip,60639
33,inspectiondate,2010-03-19
33,inspectiontype,canvass
33,results,pass
33,latitude,41.91399921
33,longitude,-87.74586369
34,inspectionid,48230
34,dbaname,pizzaro's
34,akaname,pizzaro's
34,license,2032324
34,facilitytype,restaurant
34,risk,risk 1 (high)
34,address,6924 w grand ave
34,city,chicago
34,state,il
34,zip,60707
34,inspectiondate,2010-05-06
34,inspectiontype,license
34,results,fail
34,latitude,41.92367998
34,longitude,-87.79876127
35,inspectionid,52234
35,dbaname,cafe 608
35,akaname,cafe 608
35,license,2013328
35,facilitytype,restaurant
35,risk,risk 1 (high)
35,address,608 w barry ave
35,city,chicago
35,state,il
35,zip,60657
35,inspectiondate,2010-01-04
35,inspectiontype,license re-inspection
35,results,pass
35,latitude,41.93800688
35,longitude,-87.64475457
36,inspectionid,52235
36,dbaname,lake view (h/s)
36,akaname,lake view (h/s)
36,license,46211
36,facilitytype,school
36,risk,risk 1 (high)
36,address,4015 n ashland ave
36,city,chicago
36,state,il
36,zip,60613
36,inspectiondate,2010-01-22
36,inspectiontype,canvass
36,results,fail
36,latitude,41.95478361
36,longitude,-87.66891643
37,inspectionid,52236
37,dbaname,lakeview subway
37,akaname,lakeview subway
37,license,1305059
37,facilitytype,restaurant
37,risk,risk 1 (high)
37,address,3952 n ashland ave
37,city,chicago
37,state,il
37,zip,60613
37,inspectiondate,2010-01-22
37,inspectiontype,canvass re-inspection
37,results,pass w/ conditions
37,latitude,41.953978
37,longitude,-87.66918631
38,inspectionid,52237
38,dbaname,disney magnet
38,akaname,disney magnet
38,license,29401
38,facilitytype,school
38,risk,risk 1 (high)
38,address,4140 n marine dr
38,city,chicago
38,state,il
38,zip,60613
38,inspectiondate,2010-02-18
38,inspectiontype,canvass
38,results,fail
38,latitude,41.95680712
38,longitude,-87.6461175
39,inspectionid,52238
39,dbaname,disney magnet
39,akaname,disney magnet
39,license,29401
39,facilitytype,school
39,risk,risk 1 (high)
39,address,4140 n marine dr
39,city,chicago
39,state,il
39,zip,60613
39,inspectiondate,2010-03-05
39,inspectiontype,consultation
39,results,fail
39,latitude,41.95680712
39,longitude,-87.6461175
40,inspectionid,52239
40,dbaname,disney magnet
40,akaname,disney magnet
40,license,29401
40,facilitytype,school
40,risk,risk 1 (high)
40,address,4140 n marine dr
40,city,chicago
40,state,il
40,zip,60613
40,inspectiondate,2010-03-09
40,inspectiontype,canvass re-inspection
40,results,pass
40,latitude,41.95680712
40,longitude,-87.6461175
41,inspectionid,52240
41,dbaname,lakeside boarding home
41,akaname,lakeside boarding home
41,license,1515987
41,facilitytype,long term care
41,risk,risk 1 (high)
41,address,6330 n sheridan rd
41,city,chicago
41,state,il
41,zip,60660
41,inspectiondate,2010-03-10
41,inspectiontype,canvass re-inspection
41,results,fail
41,latitude,41.99725812
41,longitude,-87.65575405
42,inspectionid,52241
42,dbaname,eden  supportive  living
42,akaname,eden  supportive  living
42,license,74931
42,facilitytype,long term care
42,risk,risk 1 (high)
42,address,4131 n sheridan rd
42,city,chicago
42,state,il
42,zip,60613
42,inspectiondate,2010-03-19
42,inspectiontype,canvass re-inspection
42,results,pass
42,latitude,41.95746872
42,longitude,-87.65448098
43,inspectionid,52242
43,dbaname,inter-american
43,akaname,inter-american
43,license,29191
43,facilitytype,school
43,risk,risk 1 (high)
43,address,851 w waveland
43,city,chicago
43,state,il
43,zip,60613
43,inspectiondate,2010-03-23
43,inspectiontype,canvass
43,results,pass w/ conditions
43,latitude,41.94897646
43,longitude,-87.65153745
44,inspectionid,52243
44,dbaname,popeyes #2857
44,akaname,popeyes
44,license,12630
44,facilitytype,restaurant
44,risk,risk 1 (high)
44,address,1600 w irving park rd
44,city,chicago
44,state,il
44,zip,60613
44,inspectiondate,2010-03-31
44,inspectiontype,canvass
44,results,pass w/ conditions
44,latitude,41.9543993
44,longitude,-87.66911287
45,inspectionid,52244
45,dbaname,peoples church of chicago
45,akaname,peoples church of chicago
45,license,0
45,facilitytype,soup kitchen
45,risk,risk 1 (high)
45,address,941 w lawrence ave
45,city,chicago
45,state,il
45,zip,60640
45,inspectiondate,2010-04-14
45,inspectiontype,complaint
45,results,fail
45,latitude,41.96899004
45,longitude,-87.65405445
46,inspectionid,52245
46,dbaname,i-cafe
46,akaname,i-cafe
46,license,1767227
46,facilitytype,restaurant
46,risk,risk 1 (high)
46,address,1814 w irving park rd
46,city,chicago
46,state,il
46,zip,60613
46,inspectiondate,2010-04-16
46,inspectiontype,canvass
46,results,fail
46,latitude,41.95431724
46,longitude,-87.67483357
47,inspectionid,52246
47,dbaname,"children's creative center, inc."
47,akaname,"children's creative center, inc."
47,license,77784
47,facilitytype,daycare (2 - 6 years)
47,risk,risk 1 (high)
47,address,1911 w irving park rd
47,city,chicago
47,state,il
47,zip,60613
47,inspectiondate,2010-04-19
47,inspectiontype,license
47,results,fail
47,latitude,41.95407205
47,longitude,-87.67682369
48,inspectionid,52247
48,dbaname,peoples church of chicago
48,akaname,peoples church of chicago
48,license,0
48,facilitytype,soup kitchen
48,risk,risk 1 (high)
48,address,941 w lawrence ave
48,city,chicago
48,state,il
48,zip,60640
48,inspectiondate,2010-04-21
48,inspectiontype,complaint re-inspection
48,results,pass
48,latitude,41.96899004
48,longitude,-87.65405445
49,inspectionid,52248
49,dbaname,apple tree learning center
49,akaname,apple tree learning center
49,license,66696
49,facilitytype,daycare (2 - 6 years)
49,risk,risk 1 (high)
49,address,1733 w irving park rd
49,city,chicago
49,state,il
49,zip,60613
49,inspectiondate,2010-04-23
49,inspectiontype,license
49,results,pass
49,latitude,41.95412784
49,longitude,-87.67277541
50,inspectionid,52249
50,dbaname,park view montessori school #3
50,akaname,park view montessori school #3
50,license,44217
50,facilitytype,daycare (2 - 6 years)
50,risk,risk 1 (high)
50,address,640 w irving park rd
50,city,chicago
50,state,il
50,zip,60613
50,inspectiondate,2010-04-26
50,inspectiontype,license
50,results,fail
50,latitude,41.95472485
50,longitude,-87.64658231
51,inspectionid,52250
51,dbaname,kc's academy of early childhood
51,akaname,kc's academy of early childhood
51,license,1650257
51,facilitytype,daycare (2 - 6 years)
51,risk,risk 1 (high)
51,address,835-837 w sheridan rd
51,city,chicago
51,state,il
51,zip,60613
51,inspectiondate,2010-04-27
51,inspectiontype,license re-inspection
51,results,pass
51,latitude,41.95261657
51,longitude,-87.65104544
52,inspectionid,52251
52,dbaname,orange garden restaurant llc
52,akaname,orange garden restaurant llc
52,license,1942679
52,facilitytype,restaurant
52,risk,risk 1 (high)
52,address,1942 w irving park rd
52,city,chicago
52,state,il
52,zip,60613
52,inspectiondate,2010-04-28
52,inspectiontype,canvass
52,results,fail
52,latitude,41.95427602
52,longitude,-87.6780333
53,inspectionid,52253
53,dbaname,orange garden restaurant llc
53,akaname,orange garden restaurant llc
53,license,1942679
53,facilitytype,restaurant
53,risk,risk 1 (high)
53,address,1942 w irving park rd
53,city,chicago
53,state,il
53,zip,60613
53,inspectiondate,2010-05-05
53,inspectiontype,canvass re-inspection
53,results,pass
53,latitude,41.95427602
53,longitude,-87.6780333
54,inspectionid,52254
54,dbaname,red brick
54,akaname,red brick
54,license,1985321
54,facilitytype,restaurant
54,risk,risk 1 (high)
54,address,1938 w irving park rd
54,city,chicago
54,state,il
54,zip,60613
54,inspectiondate,2010-05-05
54,inspectiontype,canvass
54,results,pass
54,latitude,41.95427796
54,longitude,-87.67788273
55,inspectionid,52255
55,dbaname,red brick
55,akaname,red brick
55,license,1985322
55,facilitytype,restaurant
55,risk,risk 3 (low)
55,address,1938 w irving park rd
55,city,chicago
55,state,il
55,zip,60613
55,inspectiondate,2010-05-05
55,inspectiontype,canvass
55,results,pass
55,latitude,41.95427796
55,longitude,-87.67788273
56,inspectionid,52256
56,dbaname,orange garden restaurant llc
56,akaname,orange garden restaurant llc
56,license,1942679
56,facilitytype,restaurant
56,risk,risk 1 (high)
56,address,1942 w irving park rd
56,city,chicago
56,state,il
56,zip,60613
56,inspectiondate,2010-05-11
56,inspectiontype,suspected food poisoning
56,results,fail
56,latitude,41.95427602
56,longitude,-87.6780333
57,inspectionid,52257
57,dbaname,passages  charter school
57,akaname,passages  charter school
57,license,66191
57,facilitytype,school
57,risk,risk 1 (high)
57,address,1643 w bryn mawr ave
57,city,chicago
57,state,il
57,zip,60660
57,inspectiondate,2010-05-12
57,inspectiontype,canvass
57,results,pass
57,latitude,41.98334408
57,longitude,-87.6711545
58,inspectionid,52258
58,dbaname,stockton
58,akaname,stockton
58,license,25501
58,facilitytype,school
58,risk,risk 1 (high)
58,address,4420 n beacon (1338w)
58,city,chicago
58,state,il
58,zip,60640
58,inspectiondate,2010-05-18
58,inspectiontype,canvass
58,results,fail
58,latitude,41.9623189
58,longitude,-87.66388983
59,inspectionid,52259
59,dbaname,kit kat lounge and restaurant
59,akaname,kit kat lounge and restaurant
59,license,1044305
59,facilitytype,restaurant
59,risk,risk 1 (high)
59,address,3700 n halsted st
59,city,chicago
59,state,il
59,zip,60613
59,inspectiondate,2010-05-18
59,inspectiontype,canvass
59,results,pass w/ conditions
59,latitude,41.94914734
59,longitude,-87.64968984
60,inspectionid,52260
60,dbaname,katerina's street of dreams
60,akaname,katerina's street of dreams
60,license,79417
60,facilitytype,restaurant
60,risk,risk 1 (high)
60,address,1920 w irving park rd
60,city,chicago
60,state,il
60,zip,60613
60,inspectiondate,2010-05-21
60,inspectiontype,canvass
60,results,pass
60,latitude,41.9542867
60,longitude,-87.67720518
61,inspectionid,52261
61,dbaname,oakwood '83
61,akaname,oakwood '83
61,license,6282
61,facilitytype,restaurant
61,risk,risk 1 (high)
61,address,1959 w montrose ave
61,city,chicago
61,state,il
61,zip,60613
61,inspectiondate,2010-05-24
61,inspectiontype,canvass re-inspection
61,results,pass
61,latitude,41.96135532
61,longitude,-87.67830516
62,inspectionid,52262
62,dbaname,stockton
62,akaname,stockton
62,license,25501
62,facilitytype,school
62,risk,risk 1 (high)
62,address,4420 n beacon (1338w)
62,city,chicago
62,state,il
62,zip,60640
62,inspectiondate,2010-05-26
62,inspectiontype,canvass re-inspection
62,results,pass
62,latitude,41.9623189
62,longitude,-87.66388983
63,inspectionid,52263
63,dbaname,cordis brothers supper club
63,akaname,the  piggery
63,license,1800521
63,facilitytype,restaurant
63,risk,risk 1 (high)
63,address,1625 w irving park rd
63,city,chicago
63,state,il
63,zip,60613
63,inspectiondate,2010-06-09
63,inspectiontype,canvass
63,results,pass w/ conditions
63,latitude,41.95416537
63,longitude,-87.67012784
64,inspectionid,52264
64,dbaname,young's restaurant
64,akaname,young's restaurant
64,license,1356070
64,facilitytype,restaurant
64,risk,risk 1 (high)
64,address,3949 n ashland ave
64,city,chicago
64,state,il
64,zip,60613
64,inspectiondate,2010-06-10
64,inspectiontype,complaint
64,results,pass w/ conditions
64,latitude,41.95387291
64,longitude,-87.66888934
65,inspectionid,52265
65,dbaname,filipino american council
65,akaname,filipino american council
65,license,39977
65,facilitytype,restaurant
65,risk,risk 2 (medium)
65,address,1332 w irving park rd
65,city,chicago
65,state,il
65,zip,60613
65,inspectiondate,2010-06-11
65,inspectiontype,complaint
65,results,pass
65,latitude,41.95447295
65,longitude,-87.66358644
66,inspectionid,52266
66,dbaname,filipino american council
66,akaname,rizal center(golden diner)
66,license,2032636
66,facilitytype,restaurant
66,risk,risk 1 (high)
66,address,1332 w irving park rd
66,city,chicago
66,state,il
66,zip,60613
66,inspectiondate,2010-06-11
66,inspectiontype,canvass
66,results,pass
66,latitude,41.95447295
66,longitude,-87.66358644
67,inspectionid,52267
67,dbaname,sarpinos pizzeria
67,akaname,sarpinos pizzeria
67,license,1899258
67,facilitytype,restaurant
67,risk,risk 2 (medium)
67,address,1435 w montrose ave
67,city,chicago
67,state,il
67,zip,60613
67,inspectiondate,2010-06-24
67,inspectiontype,short form complaint
67,results,pass
67,latitude,41.96152004
67,longitude,-87.66634371
68,inspectionid,52268
68,dbaname,"chicago montessori, nfp"
68,akaname,"chicago montessori, nfp"
68,license,1845360
68,facilitytype,daycare (2 - 6 years)
68,risk,risk 1 (high)
68,address,1713 w cullom ave
68,city,chicago
68,state,il
68,zip,60613
68,inspectiondate,2010-06-30
68,inspectiontype,canvass re-inspection
68,results,pass
68,latitude,41.95962989
68,longitude,-87.67135903
69,inspectionid,52269
69,dbaname,holiday club
69,akaname,holiday club
69,license,1352227
69,facilitytype,restaurant
69,risk,risk 1 (high)
69,address,4000 n sheridan rd
69,city,chicago
69,state,il
69,zip,60613
69,inspectiondate,2010-06-30
69,inspectiontype,canvass
69,results,fail
69,latitude,41.95453269
69,longitude,-87.65469302
70,inspectionid,52270
70,dbaname,chicago's pizza
70,akaname,chicago's pizza
70,license,1336958
70,facilitytype,restaurant
70,risk,risk 1 (high)
70,address,1919-1921 w montrose ave
70,city,chicago
70,state,il
70,zip,60613
70,inspectiondate,2010-07-01
70,inspectiontype,canvass
70,results,pass
70,latitude,41.96137293
70,longitude,-87.67682523
71,inspectionid,52271
71,dbaname,dollop  coffee co.
71,akaname,dollop  coffee co.
71,license,1542300
71,facilitytype,restaurant
71,risk,risk 2 (medium)
71,address,4181 n clarendon ave
71,city,chicago
71,state,il
71,zip,60613
71,inspectiondate,2010-07-07
71,inspectiontype,canvass
71,results,pass w/ conditions
71,latitude,41.95794015
71,longitude,-87.64965206
72,inspectionid,52272
72,dbaname,holiday club
72,akaname,holiday club
72,license,1352227
72,facilitytype,restaurant
72,risk,risk 1 (high)
72,address,4000 n sheridan rd
72,city,chicago
72,state,il
72,zip,60613
72,inspectiondate,2010-07-08
72,inspectiontype,canvass re-inspection
72,results,pass
72,latitude,41.95453269
72,longitude,-87.65469302
73,inspectionid,54212
73,dbaname,dons pizza & grill
73,akaname,dons pizza & grill
73,license,1992130
73,facilitytype,restaurant
73,risk,risk 1 (high)
73,address,5915 w division st
73,city,chicago
73,state,il
73,zip,60651
73,inspectiondate,2010-01-05
73,inspectiontype,complaint
73,results,pass
73,latitude,41.90191359
73,longitude,-87.77363179
74,inspectionid,54213
74,dbaname,sunset liquors
74,akaname,sunset liquors
74,license,13541
74,facilitytype,grocery store
74,risk,risk 3 (low)
74,address,5921 w division st
74,city,chicago
74,state,il
74,zip,60651
74,inspectiondate,2010-01-05
74,inspectiontype,canvass
74,results,pass
74,latitude,41.90190966
74,longitude,-87.77390477
75,inspectionid,54214
75,dbaname,dunkin donuts / baskin robbins
75,akaname,dunkin donuts / baskin robbins
75,license,1649847
75,facilitytype,restaurant
75,risk,risk 2 (medium)
75,address,800 n kedzie ave
75,city,chicago
75,state,il
75,zip,60651
75,inspectiondate,2010-01-06
75,inspectiontype,canvass
75,results,pass w/ conditions
75,latitude,41.89561531
75,longitude,-87.70670533
76,inspectionid,54215
76,dbaname,j & j fish
76,akaname,j & j fish
76,license,1194275
76,facilitytype,restaurant
76,risk,risk 2 (medium)
76,address,800 n kedzie ave
76,city,chicago
76,state,il
76,zip,60651
76,inspectiondate,2010-01-06
76,inspectiontype,complaint
76,results,pass
76,latitude,41.89561531
76,longitude,-87.70670533
77,inspectionid,54216
77,dbaname,blue sharks
77,akaname,blue sharks
77,license,1974637
77,facilitytype,restaurant
77,risk,risk 2 (medium)
77,address,3450 w chicago ave
77,city,chicago
77,state,il
77,zip,60651
77,inspectiondate,2010-01-06
77,inspectiontype,complaint
77,results,pass w/ conditions
77,latitude,41.89559733
77,longitude,-87.71344867
78,inspectionid,54217
78,dbaname,barney's pizza
78,akaname,barney's pizza
78,license,1742764
78,facilitytype,restaurant
78,risk,risk 1 (high)
78,address,5648 w chicago ave
78,city,chicago
78,state,il
78,zip,60651
78,inspectiondate,2010-01-07
78,inspectiontype,complaint
78,results,fail
78,latitude,41.89493601
78,longitude,-87.76732423
79,inspectionid,54218
79,dbaname,happy dog avenue
79,akaname,happy dog avenue
79,license,1819281
79,facilitytype,restaurant
79,risk,risk 1 (high)
79,address,5614 w chicago ave
79,city,chicago
79,state,il
79,zip,60651
79,inspectiondate,2010-01-07
79,inspectiontype,canvass
79,results,pass
79,latitude,41.89495336
79,longitude,-87.76606263
80,inspectionid,54219
80,dbaname,"monticello food mart, inc"
80,akaname,"monticello food mart, inc"
80,license,2013259
80,facilitytype,grocery store
